Rank,RegionRank,Team,Record,WinPct,Rating,Region,Conference,Division,SoS,PDC
112,NA,Cal State-Long Beach,5-5,0.5,1109.09,Southwest,SoCal DI,D-I,1079.46,29.63
113,NA,California-Davis,10-12,0.45454545454545453,1106.24,Southwest,NorCal DI,D-I,1190.09,-83.85
114,NA,Florida State,11-16,0.4074074074074074,1097.48,Southeast,Florida DI,D-I,1244.52,-147.04
115,NA,Miami (Ohio),11-4,0.7333333333333333,1092.5,Ohio Valley,Ohio DI,D-I,1059.83,32.67
116,NA,Butler,12-2,0.8571428571428571,1085.54,,,?,818.44,267.09
117,NA,Appalachian State,14-19,0.42424242424242425,1083.57,Atlantic Coast,Carolina DI,D-I,1138.42,-54.85
118,NA,Virginia Commonwealth,11-13,0.4583333333333333,1082.14,Atlantic Coast,Virginia DI,D-I,1147.74,-65.6
119,NA,Connecticut,21-17,0.5526315789473685,1080.53,Metro East,Hudson Valley DI,D-I,1008.49,72.04
120,NA,Grand Valley State,9-10,0.47368421052631576,1080.22,Great Lakes,Michigan DI,D-I,1176.97,-96.75
121,NA,Tennessee-Chattanooga,7-10,0.4117647058823529,1080.21,Southeast,Southern Appalachian DI,D-I,1135.44,-55.23
122,NA,Denver,10-11,0.47619047619047616,1075.81,South Central,Rocky Mountain DI,D-I,1064.75,11.06
123,NA,Williams,20-14,0.5882352941176471,1073.97,New England,South New England DIII,D-III,991.05,82.92
124,NA,Texas State,7-9,0.4375,1072.93,South Central,South Texas DI,D-I,1137.38,-64.45
125,NA,Yale,16-4,0.8,1070.13,Metro East,Hudson Valley DI,D-I,807.29,262.84
126,NA,Claremont,5-3,0.625,1069.19,Southwest,Southwest DIII,D-III,1008.01,61.18
127,NA,South Carolina-B,18-0,1,1057.1,Atlantic Coast,,?,542.13,514.97
128,NA,Scranton,15-4,0.7894736842105263,1053.29,,,?,922.34,130.95
129,NA,Boston University,9-9,0.5,1050.21,New England,Metro Boston DI,D-I,1130.12,-79.91
130,NA,Saint Louis,7-4,0.6363636363636364,1044.85,,,?,956.45,88.4
131,NA,Sul Ross State,10-2,0.8333333333333334,1027.4,South Central,Texas DIII,D-III,824.98,202.42
132,NA,Ithaca,24-7,0.7741935483870968,1023.44,Metro East,Western NY DIII,D-III,884.28,139.16
133,NA,Wisconsin-Milwaukee,11-16,0.4074074074074074,1023.38,North Central,Lake Superior DI,D-I,1102.68,-79.3
134,NA,Tennessee,7-12,0.3684210526315789,1017.86,Southeast,Southern Appalachian DI,D-I,1028.7,-10.83
135,NA,Colorado-B,12-9,0.5714285714285714,1015.4,South Central,Rocky Mountain DI,D-I,979.39,36.01
136,NA,American,7-11,0.3888888888888889,1012.78,Atlantic Coast,Colonial DI,D-I,1127.66,-114.88
137,NA,Michigan-B,13-4,0.7647058823529411,986.06,Great Lakes,Great Lakes Dev,Dev,750.82,235.24
138,NA,Bowdoin,13-6,0.6842105263157895,986.01,New England,North New England DIII,D-III,825.67,160.34
139,NA,Towson,6-9,0.4,985.92,Atlantic Coast,Colonial DI,D-I,1157.86,-171.94
140,NA,Florida Tech,8-3,0.7272727272727273,985.58,Southeast,Eastern Southeast DIII,D-III,1008.64,-23.06
141,NA,Wheaton (Illinois),7-2,0.7777777777777778,985.02,Great Lakes,Illinois DIII,D-III,735.67,249.35
142,NA,Nebraska,12-12,0.5,979.53,North Central,West Plains DI,D-I,919.66,59.87
143,NA,Texas-San Antonio,5-1,0.8333333333333334,973.08,South Central,South Texas DI,D-I,690.04,283.04
144,NA,Alabama-Birmingham,6-6,0.5,970.46,Southeast,Gulf Coast DI,D-I,1001.29,-30.82
145,NA,SUNY-Buffalo,8-7,0.5333333333333333,968.61,Metro East,Western NY DI,D-I,1001.98,-33.36
146,NA,Brandeis,15-6,0.7142857142857143,961.68,New England,Metro Boston DIII,D-III,892.79,68.89
147,NA,Grace,15-8,0.6521739130434783,961.54,,,?,935.76,25.78
148,NA,Bates College,10-8,0.5555555555555556,958.83,New England,North New England DIII,D-III,882.86,75.97
149,NA,SUNY-Binghamton,17-13,0.5666666666666667,957.14,Metro East,Western NY DI,D-I,911.75,45.4
150,NA,Portland State,1-5,0.16666666666666666,956.75,Northwest,Cascadia DI,D-I,1217.04,-260.29
151,NA,Arizona State,4-12,0.25,955.51,Southwest,Desert DI,D-I,1146.37,-190.86
152,NA,Jacksonville State,3-8,0.2727272727272727,954.29,Southeast,Gulf Coast DI,D-I,1143.12,-188.83
153,NA,Johns Hopkins,6-6,0.5,953.29,Atlantic Coast,Colonial DI,D-I,1042.9,-89.61
154,NA,NYU,18-11,0.6206896551724138,950.57,Metro East,Metro NY DI,D-I,958.04,-7.47
