Rank,RegionRank,Team,Record,WinPct,Rating,Region,Conference,Division,SoS,PDC
303,NA,Skidmore College,6-14,0.3,298.24,,,?,493.05,-194.81
304,NA,Embry-Riddle,4-12,0.25,297.97,,,?,527.62,-229.64
305,NA,Milwaukee School of Engineering,0-5,0,294.7,North Central,Lake Superior DIII,D-III,776.18,-481.48
306,NA,Carleton College-Karls,7-11,0.3888888888888889,294.57,North Central,,D-III,476.93,-182.36
307,NA,Virginia Tech-B,6-10,0.375,293.39,Atlantic Coast,,?,412.91,-119.52
308,NA,Texas Christian,2-7,0.2222222222222222,282.45,South Central,North Texas DI,D-I,459.5,-177.05
309,NA,SUNY-Binghamton-B,7-14,0.3333333333333333,281.65,Metro East,Metro East Dev,Dev,403.96,-122.31
NA,NA,Tufts-B,0-3,0,280.57,New England,Metro Boston Dev,Dev,693.75,-413.17
310,NA,Texas A&M-B,1-8,0.1111111111111111,270.61,South Central,South Texas DI,Dev,532.82,-262.21
311,NA,Dickinson,2-8,0.2,267.62,Ohio Valley,West Penn DIII,D-III,531.09,-263.47
312,NA,Washington University-B,2-12,0.14285714285714285,265.15,South Central,,?,582.1,-316.95
313,NA,Boston University-B,2-5,0.2857142857142857,258.75,New England,,?,454.59,-195.83
NA,NA,Santa Clara-B,0-3,0,258.37,Southwest,,?,858.37,-600
314,NA,Edinboro,5-10,0.3333333333333333,258.18,Ohio Valley,West Penn DI,D-I,471.87,-213.68
315,NA,Knox,6-14,0.3,257.91,Great Lakes,Illinois DIII,D-III,500.05,-242.14
316,NA,George Washington-B,9-12,0.42857142857142855,247.2,Atlantic Coast,,?,232.92,14.28
317,NA,Stonehill,3-6,0.3333333333333333,243.34,New England,Metro Boston DIII,D-III,388.07,-144.74
318,NA,Virginia-B,8-11,0.42105263157894735,242.62,Atlantic Coast,,?,237.17,5.45
319,NA,Northwestern-B,6-7,0.46153846153846156,237.27,Great Lakes,Great Lakes Dev,Dev,254.27,-17
NA,NA,Shenandoah University,1-3,0.25,233.57,,,?,215.97,17.6
320,NA,Rensselaer Polytechnic Institute,5-11,0.3125,228.64,,,?,461.59,-232.96
321,NA,San Jose State,1-10,0.09090909090909091,215.04,Southwest,NorCal DI,D-I,546.49,-331.45
322,NA,Purdue-B,4-13,0.23529411764705882,205.19,Great Lakes,Great Lakes Dev,Dev,363.44,-158.24
NA,NA,Puget Sound,1-3,0.25,196.4,Northwest,Northwest DIII,D-III,547.56,-351.17
323,NA,Indiana-B,3-7,0.3,192.99,Great Lakes,Great Lakes Dev,Dev,219.42,-26.43
324,NA,Xavier,2-8,0.2,189.69,Ohio Valley,Ohio DIII,D-III,568,-378.32
325,NA,Central Florida-B,2-4,0.3333333333333333,184.87,Southeast,Southeast Dev,Dev,343.89,-159.02
326,NA,Wisconsin-Stevens Point,0-5,0,179.24,,,?,779.24,-600
327,NA,Hamilton,2-5,0.2857142857142857,178.29,,,?,219.58,-41.3
328,NA,Michigan State-B,2-4,0.3333333333333333,174.15,Great Lakes,,?,254.11,-79.97
329,NA,Princeton-B,1-6,0.14285714285714285,172.92,Metro East,,?,430.7,-257.78
330,NA,University of Iowa-B,2-4,0.3333333333333333,137.12,,,?,62.82,74.3
331,NA,Texas Tech,2-7,0.2222222222222222,133.47,South Central,North Texas DI,D-I,387.91,-254.43
332,NA,Florida-B,2-3,0.4,131.83,Southeast,Southeast Dev,Dev,39.4,92.43
333,NA,UCLA-B,4-10,0.2857142857142857,127.38,Southwest,Southwest Dev,Dev,379.58,-252.2
334,NA,Bradley,3-8,0.2727272727272727,123.56,Great Lakes,Illinois DIII,D-III,454.78,-331.22
335,NA,University of Memphis,0-6,0,122.1,,,?,688.01,-565.91
336,NA,Slippery Rock,1-6,0.14285714285714285,117.58,,,?,502.88,-385.3
NA,NA,Lewis & Clark,1-2,0.3333333333333333,114.14,Northwest,Northwest DIII,D-III,77.98,36.16
337,NA,Siena,4-11,0.26666666666666666,112.49,Metro East,Hudson Valley DIII,D-III,321.96,-209.47
338,NA,SUNY-Oneonta,2-8,0.2,95.79,Metro East,Western NY DIII,D-III,151.39,-55.61
NA,NA,Suny Oswego,1-2,0.3333333333333333,90.01,,,?,54.28,35.72
339,NA,SUNY Binghamton-B,2-3,0.4,90,,,?,76.03,13.97
340,NA,Illinois-B,4-14,0.2222222222222222,76.66,Great Lakes,Great Lakes Dev,Dev,260.76,-184.1
341,NA,Temple-B,3-9,0.25,69.83,Ohio Valley,Ohio Valley Dev,Dev,234.87,-165.04
342,NA,SUNY-Stony Brook-B,3-6,0.3333333333333333,67.57,Metro East,,?,56.37,11.2
343,NA,Case Western Reserve-B,2-4,0.3333333333333333,61.83,Ohio Valley,Ohio Valley Dev,Dev,248.42,-186.58
344,NA,Hartford,0-5,0,47.12,,,?,488.66,-441.54
345,NA,William & Mary-B,3-14,0.17647058823529413,46.4,Atlantic Coast,Southern Atlantic Coast Dev,Dev,362.74,-316.34
346,NA,Iowa State-B,3-9,0.25,36.25,North Central,,?,284.64,-248.39
347,NA,California-Santa Barbara-B,4-10,0.2857142857142857,35.04,Southwest,Southwest Dev,Dev,366.57,-331.52
348,NA,Southeast Missouri State,1-11,0.08333333333333333,18.35,,,?,407.03,-388.68
349,NA,Trinity University,1-13,0.07142857142857142,-7.44,,,?,422.72,-430.16
NA,NA,Denver-B,0-4,0,-11.18,South Central,,?,535.51,-546.69
350,NA,New Jersey Tech,3-4,0.42857142857142855,-16.08,,,?,-7.05,-9.03
351,NA,Cornell-B,3-12,0.2,-52.51,Metro East,Metro East Dev,Dev,189.57,-242.08
352,NA,Delaware-B,4-13,0.23529411764705882,-58.12,Atlantic Coast,Colonial Dev,Dev,98.49,-156.61
353,NA,Cleveland State,0-8,0,-68.06,,,?,469.84,-537.89
354,NA,Towson -B,3-7,0.3,-130.65,Atlantic Coast,Colonial Dev,Dev,33.44,-164.09
355,NA,Syracuse-B,3-5,0.375,-132.07,Metro East,,?,66.53,-198.6
356,NA,Clark,1-11,0.08333333333333333,-134.02,,,?,4.97,-138.99
357,NA,Ohio Wesleyan,0-5,0,-138.45,Ohio Valley,,D-III,189.69,-328.14
358,NA,Lehigh-B,4-13,0.23529411764705882,-147.99,Ohio Valley,,?,36.7,-184.68
359,NA,Georgetown-B,1-10,0.09090909090909091,-157.89,Atlantic Coast,Colonial Dev,Dev,159.48,-317.37
360,NA,Rutgers-B,5-9,0.35714285714285715,-192.65,Metro East,Metro East Dev,Dev,-107.92,-84.73
361,NA,South Florida-B,0-6,0,-198.81,Southeast,Southeast Dev,Dev,345.64,-544.45
362,NA,American-B,1-8,0.1111111111111111,-240.8,Atlantic Coast,Colonial Dev,Dev,-21.33,-219.47
NA,NA,Dayton-B,0-4,0,-272.08,Ohio Valley,,?,117.58,-389.67
363,NA,Pennsylvania-B,1-6,0.14285714285714285,-290.28,Ohio Valley,Ohio Valley Dev,Dev,113.15,-403.43
364,NA,New Haven,0-5,0,-313.53,,,?,240.64,-554.17
365,NA,LSU-B,0-6,0,-336.11,Southeast,Southeast Dev,Dev,197.61,-533.73
NA,NA,Portland,0-2,0,-339.46,Northwest,Northwest DIII,D-III,114.14,-453.6
366,NA,Jefferson,0-6,0,-341.43,,,?,258.57,-600
367,NA,SUNY-Fredonia,0-10,0,-345.92,Metro East,Western NY DIII,D-III,201.46,-547.38
368,NA,Muhlenberg College,0-5,0,-347.05,,,?,-137.13,-209.92
NA,NA,St Mary's (Maryland),0-4,0,-366.43,Atlantic Coast,Northern Atlantic Coast DIII,D-III,233.57,-600
369,NA,SUNY-Albany-B,3-16,0.15789473684210525,-388.05,Metro East,Metro East Dev,Dev,-82.78,-305.27
370,NA,Chicago-B,0-6,0,-410.5,Great Lakes,,?,189.5,-600
371,NA,Arizona State-B,1-5,0.16666666666666666,-414.95,Southwest,Southwest Dev,Dev,-295.17,-119.78
NA,NA,Carnegie Mellon-B,0-3,0,-415.28,Ohio Valley,,?,-290.28,-125
NA,NA,Coe,0-3,0,-420.41,North Central,West Plains DIII,D-III,137.12,-557.53
372,NA,Northeastern-C,0-8,0,-426.45,New England,,?,123.68,-550.13
373,NA,Sacred Heart,0-6,0,-477.6,Metro East,Hudson Valley DI,D-I,122.4,-600
374,NA,Wisconsin-Eau Claire-B,1-9,0.1,-481.32,North Central,,?,-268.3,-213.03
375,NA,Stevens Tech-B,2-5,0.2857142857142857,-505.58,Metro East,,?,-257.7,-247.89
376,NA,Wisconsin-Milwaukee-B,0-6,0,-899.89,North Central,,?,-481.32,-418.57
377,NA,California-San Diego-C,0-6,0,-1014.95,Southwest,Southwest Dev,Dev,-414.95,-600
NA,NA,Grinnell-B,0-3,0,NA,,,?,NA,NA
NA,NA,Amherst College-B,0-2,0,NA,,,?,NA,NA
NA,NA,Colorado School of Mines-B,0-4,0,NA,South Central,,?,NA,NA
