Rank,RegionRank,Team,Record,WinPct,Rating,Region,Conference,Division,SoS,PDC
1,AC 1,North Carolina,37-0,1,2343.45,Atlantic Coast,Carolina DI,D-I,1931.73,411.72
2,SC 1,Colorado,28-8,0.7777777777777778,2239.23,South Central,Rocky Mountain DI,D-I,1966.09,273.15
3,NC 1,Carleton College,22-3,0.88,2173.45,North Central,,D-I,1922.14,251.31
4,SW 1,California-Santa Barbara,32-3,0.9142857142857143,2159.38,Southwest,SoCal DI,D-I,1894.21,265.17
5,NW 1,British Columbia,15-7,0.6818181818181818,2106.72,Northwest,Cascadia DI,D-I,1926.6,180.12
6,NW 2,Washington,21-6,0.7777777777777778,2068.65,Northwest,Cascadia DI,D-I,1860.98,207.67
7,NE 1,Tufts,23-8,0.7419354838709677,2009.18,New England,Metro Boston DI,D-I,1788.94,220.25
8,SW 2,Stanford,23-10,0.696969696969697,1985.87,Southwest,NorCal DI,D-I,1788.04,197.83
9,SW 3,California-San Diego,26-11,0.7027027027027027,1958.09,Southwest,SoCal DI,D-I,1871.64,86.45
10,NE 2,Vermont,17-7,0.7083333333333334,1931.61,New England,Greater New England DI,D-I,1808.24,123.37
11,SW 4,California-Davis,20-10,0.6666666666666666,1897.16,Southwest,NorCal DI,D-I,1807.81,89.34
12,NW 3,Brigham Young,11-5,0.6875,1808.7,Northwest,Big Sky DI,D-I,1607.82,200.88
13,OV 1,Pittsburgh,26-9,0.7428571428571429,1719.32,Ohio Valley,Pennsylvania DI,D-I,1531.41,187.91
14,SW 5,Florida State (SLUT),33-4,0.8918918918918919,1708.29,Southwest,Florida DI,D-I,1496.81,211.48
15,SE 1,Georgia,24-7,0.7741935483870968,1707.34,Southeast,Southern Appalachian DI,D-I,1505.87,201.46
16,NW 4,Western Washington,11-11,0.5,1700.37,Northwest,Cascadia DI,D-I,1821.97,-121.6
17,NW 5,Oregon,11-13,0.4583333333333333,1650.51,Northwest,Cascadia DI,D-I,1816,-165.5
18,SW 6,UCLA,17-21,0.4473684210526316,1618.64,Southwest,SoCal DI,D-I,1649.08,-30.44
19,NA,Texas,19-8,0.7037037037037037,1614.63,South Central,Texas DI,D-I,1491.28,123.35
20,NA,Virginia,18-14,0.5625,1589.46,Atlantic Coast,Virginia DI,D-I,1537.65,51.81
21,NA,Northeastern,11-11,0.5,1548.06,New England,Metro Boston DI,D-I,1536.38,11.68
22,NA,Middlebury,24-1,0.96,1540.81,New England,North New England DIII,D-III,1178.79,362.03
23,NA,Carleton College-Eclipse,23-3,0.8846153846153846,1519.75,North Central,North Central DIII,D-III,1168.8,350.94
24,NA,Ohio,17-13,0.5666666666666667,1505.49,Ohio Valley,Ohio DI,D-I,1375.56,129.93
25,NA,Appalachian State,18-5,0.782608695652174,1504.18,Atlantic Coast,Carolina DI,D-I,1330.52,173.66
26,NA,Brown,16-9,0.64,1501.72,New England,Greater New England DI,D-I,1427.38,74.34
27,NA,California,11-16,0.4074074074074074,1500.15,Southwest,NorCal DI,D-I,1577.89,-77.74
28,NA,Williams,20-4,0.8333333333333334,1490.38,New England,South New England DIII,D-III,1150.77,339.61
29,GL 1,Purdue,19-10,0.6551724137931034,1473.48,Great Lakes,Eastern Great Lakes DI,D-I,1458.68,14.8
30,NA,Georgia Tech,12-9,0.5714285714285714,1458.95,Southeast,Southern Appalachian DI,D-I,1376.24,82.71
31,ME 1,SUNY-Binghamton,22-9,0.7096774193548387,1451.86,Metro East,Western NY DI,D-I,1346.63,105.23
32,NA,Pennsylvania,13-9,0.5909090909090909,1437.83,Ohio Valley,Pennsylvania DI,D-I,1296.06,141.77
